post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,730,106,armanified,2026-04-06 21:35:43,0.14500683994528044,True
47658146,France pulls last gold held in US for $15B gain,technology,439,246,teleforce,2026-04-06 21:35:44,0.5590909090909091,True
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,204,17,karimf,2026-04-06 21:35:45,0.08292682926829269,True
47660925,Claude Code is unusable for complex engineering tasks with the Feb updates,technology,9,5,StanAngeloff,2026-04-06 21:35:46,0.5,False
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,92,42,stevebmark,2026-04-06 21:35:48,0.45161290322580644,False
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,344,88,vbtechguy,2026-04-06 21:35:48,0.25507246376811593,True
47661231,When Virality Is the Message: The New Age of AI Propaganda,technology,28,12,virgildotcodes,2026-04-06 21:35:49,0.41379310344827586,False
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,122,18,ikessler,2026-04-06 21:35:50,0.14634146341463414,False
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,379,231,thisislife2,2026-04-06 21:35:52,0.6078947368421053,True
47648828,"Eight years of wanting, three months of building with AI",technology,869,274,brilee,2026-04-06 21:35:53,0.31494252873563217,True
47650312,A tail-call interpreter in (nightly) Rust,technology,183,45,g0xA52A2A,2026-04-06 21:35:54,0.24456521739130435,False
47662112,Claude Code Down,technology,60,49,theahura,2026-04-06 21:35:57,0.8032786885245902,False
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,198,26,desideratum,2026-04-06 21:35:57,0.1306532663316583,True
47661065,"The Team Behind a Pro-Iran, Lego-Themed Viral-Video Campaign",technology,59,68,tantalor,2026-04-06 21:36:02,1.1333333333333333,False
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,186,51,MoltenMonster,2026-04-06 21:36:03,0.2727272727272727,False
47640728,Show HN: A game where you build a GPU,technology,933,180,Jaso1024,2026-04-06 21:36:05,0.19271948608137046,True
47656335,Does coding with LLMs mean more microservices?,technology,56,56,jer0me,2026-04-06 21:36:07,0.9824561403508771,False
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,518,232,naves,2026-04-06 21:36:09,0.44701348747591524,True
47651479,From birds to brains: My path to the fusiform face area (2024),technology,39,0,everbody,2026-04-06 21:36:10,0.0,False
47658388,NIMBY Rails,technology,33,4,altilunium,2026-04-06 21:36:11,0.11764705882352941,False
47655058,OpenAI's fall from grace as investors race to Anthropic,technology,191,132,1vuio0pswjnm7,2026-04-06 21:36:11,0.6875,True
47652549,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,61,31,alvivanco,2026-04-06 21:36:12,0.5,False
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1082,822,firloop,2026-04-06 21:36:14,0.7590027700831025,True
47637757,Embarrassingly simple self-distillation improves code generation,technology,644,198,Anon84,2026-04-06 21:36:17,0.30697674418604654,True
47660954,"Germany Doxes ""UNKN,"" Head of RU Ransomware Gangs REvil, GandCrab",worldnews,92,30,Bender,2026-04-06 21:36:20,0.3225806451612903,False
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,912,592,zaikunzhang,2026-04-06 21:36:43,0.6484118291347207,True
47636765,Endian wars and anti-portability: this again?,worldnews,45,55,awilfox,2026-04-06 21:37:15,1.1956521739130435,False
47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,40,12,anigbrowl,2026-04-06 21:37:24,0.2926829268292683,False
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,52,16,zdw,2026-04-06 21:37:31,0.3018867924528302,False
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,worldnews,151,45,jackson-mcd,2026-04-06 21:37:40,0.29605263157894735,False
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,590,208,pretext,2026-04-06 21:37:42,0.35194585448392557,True
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,75,40,1659447091,2026-04-06 21:37:43,0.5263157894736842,False
